Move,Player
dp,B
dd,W
qp,B
pd,W
qf,B
nc,W
pi,B
np,W
oq,B
jp,W
op,B
fq,W
cn,B
qk,W
rd,B
qo,W
po,B
qn,W
rp,B
qc,W
rj,B
qj,W
qi,B
rk,W
ri,B
om,W
cf,B
fc,W
bd,B
ch,W
dh,B
di,W
dg,B
cc,W
ci,B
cj,W
bi,B
dj,W
bh,B
cq,W
dq,B
dr,W
er,B
cr,W
eq,B
bo,W
co,B
bn,W
fp,B
cm,W
hq,B
no,W
mr,B
jd,W
lp,B
lo,W
ko,B
kp,W
ln,B
lq,W
mo,B
mp,W
mq,B
lo,W
ed,B
mn,W
ec,B
fd,W
fb,B
ee,W
db,B
fe,W
hc,B
ce,W
be,B
ic,W
gc,B
he,W
ib,B
jb,W
ha,B
cb,W
eb,B
de,W
id,B
jc,W
ie,B
hd,W
je,B
ke,W
kf,B
le,W
ig,B
ja,W
ga,B
gh,W
ii,B
lf,W
kg,B
lg,W
kh,B
dm,W
ei,B
hg,W
hh,B
gi,W
hf,B
gf,W
gg,B
fg,W
hg,B
eh,W
rc,B
bj,W
eg,B
fh,W
fm,B
ho,W
hm,B
im,W
in,B
hn,W
jn,B
il,W
hl,B
hk,W
ik,B
jk,W
ij,B
jl,W
io,B
fn,W
en,B
gn,W
gm,B
em,W
fl,B
eo,W
dn,B
cp,W
do,B
jf,W
if,B
ji,W
jj,B
hb,W
ia,B
gd,W
gb,B
es,W
fr,B
ip,W
hp,B
lm,W
kk,B
kl,W
lk,B
kn,W
fo,B
pf,W
qe,B
pe,W
rb,B
qb,W
pg,B
ro,W
pn,B
qm,W
ng,B
